ticker,sector,industry,market_cap,market_cap_log,beta,volatility_daily,volatility_annual,atr_pct,avg_volume,avg_dollar_volume,volume_volatility,price,distance_from_52w_high,return_skewness,return_kurtosis,max_drawdown,dividend_yield,pe_ratio,forward_pe,profit_margin,roe,analyst_rating,short_percent,is_etf,accuracy,stock_type,vol_quartile
MCD,Consumer Cyclical,Restaurants,231614595072,11.364765922756254,0.528,0.011290088389465828,0.17922459695078596,0.0148614137249379,3414526.742,1108252969.6596808,0.4362948136088371,324.57000732421875,0.010638268183708268,-0.16113588750017574,2.966775785554059,-0.16432015362822744,2.27,27.717337,24.450693,0.3204,,2.16216,0.0109,False,64,Defensive,Q1 (Low)
HD,Consumer Cyclical,Home Improvement Retail,377682132992,11.577126440145184,1.089,0.013926891314413386,0.22108254572497968,0.022197588935629658,3598406.768,1365181586.818371,0.35920789132383213,379.385009765625,0.11033701888382412,0.08228815231338983,1.457674130834968,-0.21791625414808663,2.39,25.861282,25.22775,0.087740004,1.62909,1.94595,0.0117999995,False,58,Consumer Cyclical,Q2
QQQ,Unknown,Unknown,241917657088,11.383667567808049,1.0,0.013243231465984034,0.2102297820831546,0.017404173715214702,43489518.254,26763883260.76274,0.4062686233244186,615.4099731445312,0.033286213091514194,0.7946052433750596,14.408014033246726,-0.2276831565773451,0.45,32.72526,,,,,0.0,True,58,ETF,Q1 (Low)
MSFT,Technology,Software - Infrastructure,3067305263104,12.48675699981176,1.084,0.015066141076586293,0.23916757503637362,0.03912435918279214,22023733.156,9089084716.122059,0.4576498016207809,412.69500732421875,0.25439352243844116,-0.15461400500544029,9.49511436689075,-0.2724061568353705,0.91,25.84189,21.869896,0.39044,0.34390998,1.23214,0.0074,False,58,Stable Tech,Q2
AAPL,Technology,Consumer Electronics,3995851292672,12.601609317398367,1.107,0.017730394802331264,0.2814612917637645,0.024073536826628484,55434173.418,15069541849.969395,0.49514380968316385,271.845703125,0.05811895321173672,0.9770012457607096,13.412437285016217,-0.3336051687750729,0.37,34.41329,29.300596,0.27037,1.5202099,1.95745,0.0077,False,57,Stable Tech,Q3
RIVN,Consumer Cyclical,Auto Manufacturers,18103670784,10.257766643355412,1.766,0.04391985458919347,0.6972060771667489,0.044392844277744654,39034131.132,576436528.5137421,0.6153816027180121,14.767499923706055,0.3491626453890962,0.707905617151307,7.121926293825643,-0.48623856742838906,0.0,,-6.082542,-0.61337,-0.64919,2.76,0.1366,False,57,Consumer Cyclical,Q4 (High)
MA,Financial Services,Credit Services,479253364736,11.680565170650045,0.821,0.012780901979952776,0.20289052902028848,0.023799527119159784,2703930.65,1450428900.2072113,0.3899559563279064,536.4149780273438,0.10608718875102048,-0.27728006693956814,6.125685713915836,-0.16725367134008706,0.63,32.47064,23.765903,0.45646998,2.09915,1.46154,0.0081,False,57,Defensive,Q1 (Low)
SPY,Unknown,Unknown,638042046464,11.804849299325562,1.0,0.01035465561220654,0.16437506196970664,0.011830880786219768,64996450.732,45186509241.15753,0.40908083162500936,695.2150268554688,0.0037616071004532244,1.1269467785900884,23.78910035772882,-0.18755240821113894,1.05,27.562904,,,,,0.0,True,56,ETF,Q1 (Low)
JNJ,Healthcare,Drug Manufacturers - General,572930392064,11.758101860747777,0.347,0.011200518681055151,0.17780272191003063,0.016832879696183085,8110662.458,1928715557.2641773,0.3690319230093973,237.8000030517578,0.013032287531465632,-0.1887790624980597,6.7284430667941475,-0.14446252084974165,2.17,21.539856,18.954945,0.28456,0.35557,2.12,0.0089,False,56,Defensive,Q1 (Low)
BAC,Financial Services,Banks - Diversified,411970306048,11.61486591412963,1.273,0.015726798243666452,0.2496551824321729,0.018377831806884525,38588557.826,2176973525.0826697,0.40596971297153983,56.415000915527344,0.01972195198227382,-0.6336173222022505,8.344731807620795,-0.27509378475922464,1.95,14.807087,11.379314,0.28401,0.1019,1.61538,0.011,False,56,Financial,Q2
KO,Consumer Defensive,Beverages - Non-Alcoholic,334502526976,11.524399402963596,0.364,0.009896287750889906,0.1570986977495365,0.016362536270912862,15588673.93,1211629657.4228213,0.3825502700384169,77.7249984741211,0.018623718825204208,0.2856498952490392,2.178555120398421,-0.15502975267333094,2.58,25.736755,24.103466,0.2734,0.42442,1.70833,0.0084,False,55,Defensive,Q1 (Low)
V,Financial Services,Credit Services,626150146048,11.796678486215793,0.78,0.012944387489995716,0.20548578103550552,0.02235936880975059,6798703.706,2207947081.954151,0.47469991514467264,324.760009765625,0.1319116762356905,-0.28150178035043677,7.37281632802104,-0.15009240086426942,0.81,30.522556,22.347183,0.50233,0.53954,1.375,0.013200001,False,55,Defensive,Q1 (Low)
META,Communication Services,Internet Content & Information,1721931530240,12.236015878459018,1.284,0.022358991508826306,0.3549379865913555,0.03973663520129634,14883043.06,10131894995.864006,0.5530133740274054,680.7677001953125,0.14375792388317313,0.4041127086783468,7.850960855986692,-0.3415080712054696,0.32,28.991695,19.083744,0.30084,0.30238,1.31343,0.0149,False,52,Other,Q3
NVDA,Technology,Semiconductors,4667685208064,12.669101559239092,2.314,0.032222704148810045,0.5115195704865636,0.034988694325268285,282803869.5,54217742805.5338,0.5233308391128609,191.71499633789062,0.0964434592671715,0.22687569001880617,5.035516573725046,-0.368810267154466,0.02,47.45421,24.85309,0.53007,1.07359,1.34921,0.0112,False,50,High-Growth Tech,Q4 (High)
AMD,Technology,Semiconductors,352990134272,11.54776256745268,1.949,0.0353987716787743,0.5619380794751593,0.07301331671078416,48229469.32,10442934121.081411,0.4708831366727122,216.5260009765625,0.18928406521401556,0.8857196087024194,8.900168178239467,-0.6300028513679354,0.0,82.95165,20.515387,0.12515001,0.07082,1.5283,0.0235,False,50,High-Growth Tech,Q4 (High)
JPM,Financial Services,Banks - Diversified,879288778752,11.94413153084355,1.053,0.015682833650153345,0.24895726614660654,0.020792848132660968,9273823.98,2995438636.2031,0.4254613354277049,322.9992980957031,0.03832047282757037,0.07835011072323904,9.16360918674676,-0.2442392350544283,1.86,16.133831,13.970165,0.3391,0.16134001,2.11538,0.0075,False,48,Financial,Q2
UNH,Healthcare,Healthcare Plans,253716332544,11.404348425067319,0.415,0.026059552337981566,0.4136825685838263,0.04759947958098446,8173118.25,2289208660.711647,1.2233997489511979,280.0899963378906,0.5432459805637445,-2.6913728338471943,22.206305111682862,-0.6139086044933166,3.2,14.58802,13.986387,0.02694,0.12538,1.89655,0.0148,False,48,Defensive,Q4 (High)
AMZN,Consumer Cyclical,Internet Retail,2256157278208,12.353369371320616,1.385,0.01987800058173271,0.3155534766027721,0.03895148376255298,42730463.38,8980657498.242022,0.4472980675067326,210.16990661621094,0.18727802917343508,0.1729147712039108,5.428505231761497,-0.30876638431876025,0.0,29.312399,22.614552,0.108339995,0.22286,1.35294,0.0081,False,48,Consumer Cyclical,Q3
WMT,Consumer Defensive,Discount Stores,1023076335616,12.009908039283976,0.671,0.014060655609121397,0.22320598807356376,0.021920586827336035,19022987.334,2441029874.0274005,1.0418811551406069,128.32000732421875,0.02632898548023077,0.8727890563818043,7.509787296633014,-0.2192804008339594,0.72,44.867138,43.305416,0.03259,0.23661,1.39535,0.0082,False,47,Defensive,Q2
COIN,Financial Services,Financial Data & Stock Exchanges,44639117312,10.649715598332799,3.703,0.050463787368205074,0.8010877895442798,0.06779667846442888,10719421.104,1774492897.5873904,0.5815623535932525,165.5399932861328,0.6277071954156578,0.903589571804157,4.475205199853342,-0.6519129173802982,0.0,14.307693,25.678213,0.43664002,0.26005,1.85714,0.083500005,False,47,Financial,Q4 (High)
GOOGL,Communication Services,Internet Content & Information,3948823707648,12.596467745409196,1.086,0.018842013196861282,0.2991076867121523,0.03338277960797864,32165727.46,10499858179.178976,0.455158797438741,326.42999267578125,0.06467050809231734,0.4315647909188474,4.358689764818861,-0.2980586608806821,0.26,30.169132,24.503353,0.32810003,0.35705003,1.4,0.014400001,False,46,Other,Q3
PFE,Healthcare,Drug Manufacturers - General,152888672256,11.18437530909475,0.441,0.015716975421750594,0.2494992499683995,0.024828341289861618,45238383.966,1216460117.2344217,0.5782455628264104,26.889999389648438,0.05599038861135971,0.3682745030014867,2.047314910083196,-0.28997075606727857,6.32,19.772058,9.543753,0.124180004,0.085760005,2.42308,0.0228,False,46,Defensive,Q2
NKE,Consumer Cyclical,Footwear & Accessories,92934766592,10.968178212534827,1.279,0.02371526841395706,0.3764682149908534,0.027432473085395336,14501865.16,910390842.294709,0.8175763346126153,62.77750015258789,0.3916559709942222,-0.9508202556029001,17.19800189383222,-0.48783950025699613,2.57,36.711987,27.141512,0.05426,0.17950001,2.0,0.0417,False,46,Consumer Cyclical,Q3
LLY,Healthcare,Drug Manufacturers - General,946138447872,11.975954691103105,0.394,0.023399747160475333,0.3714594703704453,0.041921461725484416,3587506.094,3786325839.3835564,0.5857740294169648,1055.4200439453125,0.06925341558982048,-0.13723058028949162,7.520974843772425,-0.3447500311483474,0.59,45.967773,25.383274,0.31667,1.08283,1.72414,0.0097,False,45,Defensive,Q3
TSLA,Consumer Cyclical,Auto Manufacturers,1577597403136,12.197996182710831,1.887,0.03981216960559038,0.6319985995818995,0.03897123243366794,93746717.436,39412996203.249146,0.3666436880121122,420.4200134277344,0.15718776989196093,0.6881829382760404,4.5197725644355184,-0.5376568011858519,0.0,392.9159,146.99332,0.040009998,0.049250003,2.48889,0.019299999,False,41,Consumer Cyclical,Q4 (High)
